,AREA,BFIHOST,FARL,FPEXT,LDP,PROPWET,RMED-1D,SAAR,Index flood
AREA,1,-0.019518478,-0.070308993,0.126041568,0.889162923,0.080085528,-0.085110055,-0.052025114,0.760566432
BFIHOST,-0.019518478,1,0.107620109,0.171968688,-0.014881261,-0.503009256,-0.330060989,-0.411727465,-0.269594656
FARL,-0.070308993,0.107620109,1,0.042299587,-0.055748307,-0.286684911,-0.347213548,-0.392623999,-0.069113023
FPEXT,0.126041568,0.171968688,0.042299587,1,0.1616506,-0.363288986,-0.416561617,-0.40156604,-0.098095261
LDP,0.889162923,-0.014881261,-0.055748307,0.1616506,1,0.082512362,-0.121897998,-0.092934337,0.696885855
PROPWET,0.080085528,-0.503009256,-0.286684911,-0.363288986,0.082512362,1,0.594822426,0.748972215,0.405376949
RMED-1D,-0.085110055,-0.330060989,-0.347213548,-0.416561617,-0.121897998,0.594822426,1,0.900540878,0.178785823
SAAR,-0.052025114,-0.411727465,-0.392623999,-0.40156604,-0.092934337,0.748972215,0.900540878,1,0.238364277
Index flood,0.760566432,-0.269594656,-0.069113023,-0.098095261,0.696885855,0.405376949,0.178785823,0.238364277,1
